Subclass, Family, Subfamily, Genus, Subgenus, Species, Description, Comment, Strata, OverwriteImage, ImageFilePath
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Alligaticeras, Alligaticeras consociatum, , "Schlegelmilch, Malm, Image: 16.23", "ox 1 a, ox 1 b", false, Schlegelmilch_Malm_16_23.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Alligaticeras, Alligaticeras mairei, , "Schlegelmilch, Malm, Image: 17.1", "ox 1 a, ox 1 b", false, Schlegelmilch_Malm_17_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes bernensis, , "Schlegelmilch, Malm, Image: 17.2", "ox 1 b", false, Schlegelmilch_Malm_17_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes hermonis, , "Schlegelmilch, Malm", "ox 1 b", false,
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes gresslei, , "Schlegelmilch, Malm, Image: 17.3", "ox 1 b", false, Schlegelmilch_Malm_17_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes sorlinensis, , "Schlegelmilch, Malm, Image: 17.4", "ox 1 b", false, Schlegelmilch_Malm_17_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes neglectus, , "Schlegelmilch, Malm, Image: 17.5", "ox 1 b", false, Schlegelmilch_Malm_17_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes thurmanni, , "Schlegelmilch, Malm, Image: 17.6", "ox 1 b", false, Schlegelmilch_Malm_17_6.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) bouranensis, , "Schlegelmilch, Malm, Image: 17.7", "ox 1 b", false, Schlegelmilch_Malm_17_7.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) montfalconensis, , "Schlegelmilch, Malm, Image: 17.8", "ox 1 c", false, Schlegelmilch_Malm_17_8.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) wartae, , "Schlegelmilch, Malm, Image: 17.8", "ox 1 b, ox 1 c", false, Schlegelmilch_Malm_17_8.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) antecedens, , "Schlegelmilch, Malm, Image: 18.1", "ox 1 c, ox 1 d", false, Schlegelmilch_Malm_18_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) vermicularis, , "Schlegelmilch, Malm, Image: 17.10", "ox 1 c", false, Schlegelmilch_Malm_17_10.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) plicatilis, , "Schlegelmilch, Malm, Image: 18.2", "ox 1 c", false, Schlegelmilch_Malm_18_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) elisabethae, , "Schlegelmilch, Malm, Image: 18.3", "ox 1 c", false, Schlegelmilch_Malm_18_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) gigantoplex, , "Schlegelmilch, Malm, Image: 18.4", "ox 1 f?", false, Schlegelmilch_Malm_18_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) berlieri, , "Schlegelmilch, Malm, Image: 19.1", "ox 1 f, ox 2 a", false, Schlegelmilch_Malm_19_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) martelli, , "Schlegelmilch, Malm, Image: 19.2", "ox 1 c", false, Schlegelmilch_Malm_19_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) siegfriedi, , "Schlegelmilch, Malm, Image: 19.3", "ox 1 c", false, Schlegelmilch_Malm_19_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) panthieri, , "Schlegelmilch, Malm, Image: 19.4", "ox 1 c", false, Schlegelmilch_Malm_19_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) waltonensis, , "Schlegelmilch, Malm, Image: 20.1", "ox 1 f", false, Schlegelmilch_Malm_20_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) chloroolithicus, , "Schlegelmilch, Malm, Image: 20.2", "ox 1 c, ox 1 d", false, Schlegelmilch_Malm_20_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) bifurcatus, , "Schlegelmilch, Malm, Image: 20.3", "ox 1 d", false, Schlegelmilch_Malm_20_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) crassus, , "Schlegelmilch, Malm, Image: 20.4", "ox 1 d", false, Schlegelmilch_Malm_20_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) bifurcatoides, , "Schlegelmilch, Malm, Image: 20.5", "ox 1 d", false, Schlegelmilch_Malm_20_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) microplicatilis, , "Schlegelmilch, Malm, Image: 21.1", "ox 1 c, ox 1 d", false, Schlegelmilch_Malm_21_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) prowitteanus, , "Schlegelmilch, Malm, Image: 21.2", "ox 1 d", false, Schlegelmilch_Malm_21_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Microbiplices, Microbiplices microbiplex, , "Schlegelmilch, Malm, Image: 21.3", "ox 1 f, ox 1 c?", false, Schlegelmilch_Malm_21_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Neomorphoceras, Neomorphoceras chapuisi, , "Schlegelmilch, Malm, Image: 21.4", "ox 1 c", false, Schlegelmilch_Malm_21_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Neomorphoceras, Neomorphoceras colinii, , "Schlegelmilch, Malm, Image: 21.10", "ox 1 c", false, Schlegelmilch_Malm_21_10.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Larcheria, Larcheria gredingensis, , "Schlegelmilch, Malm, Image: 21.5", "ox 1 f", false, Schlegelmilch_Malm_21_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Larcheria, Larcheria dorni, , "Schlegelmilch, Malm, Image: 21.6", "ox 1 c", false, Schlegelmilch_Malm_21_6.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Subdistophinctes, Subdistophinctes lucingae, , "Schlegelmilch, Malm, Image: 21.7", "ox 1 c, ox 1 f?", false, Schlegelmilch_Malm_21_7.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Subdistophinctes, Subdistophinctes mindowe, , "Schlegelmilch, Malm, Image: 21.8", "ox 1 c", false, Schlegelmilch_Malm_21_8.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) polygyratus, , "Schlegelmilch, Malm, Image: 21.9", "ox 1 f?, ox 2 a, ox 2 b, ki 1 a", false, Schlegelmilch_Malm_21_9.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) laufensis, , "Schlegelmilch, Malm, Image: 22.1", "ox 1 f, ox 2 a, ox 2 b", false, Schlegelmilch_Malm_22_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) virgulatus, , "Schlegelmilch, Malm, Image: 22.2", "ox 2 a, ox 2 b", false, Schlegelmilch_Malm_22_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) wemodingensis, , "Schlegelmilch, Malm, Image: 22.3", "ox 2 a, ox 2 b, ki 1 a", false, Schlegelmilch_Malm_22_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) tizianiformis, , "Schlegelmilch, Malm, Image: 22.4", "ox 1 f, ox 2 a, ox 2 b, ki 1 a", false, Schlegelmilch_Malm_22_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) freybergi, , "Schlegelmilch, Malm, Image: 22.5", "ox 2 b, ki 1 a", false, Schlegelmilch_Malm_22_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) suevicus, , "Schlegelmilch, Malm, Image: 23.1", "ox 2 a, ox 2 b", false, Schlegelmilch_Malm_23_1.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Creniceras, , Creniceras lophotum, , "Schlegelmilch, Malm, Image: 12.9", "ox 1 c, ox 1 d, ox 1 e, ox 1 f", false, Schlegelmilch_Malm_12_9.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Creniceras, , Creniceras dentatum, , "Schlegelmilch, Malm, Image: 12.10", "ki 1 c, ki 1 d, ki 2 a, ki 2 b", false, Schlegelmilch_Malm_12_10.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) richei,  , "Schlegelmilch, Malm, Image: 7.12", ox 1 a, false, Schlegelmilch_Malm_7_12.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) anar,  , "Schlegelmilch, Malm, Image: 7.13", ox 1 c, false, Schlegelmilch_Malm_7_13.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) dentostriatum,  , "Schlegelmilch, Malm, Image: 7.14", ox 1 c, false, Schlegelmilch_Malm_7_14.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) bachianum,  , "Schlegelmilch, Malm, Image: 7.15", ox 1 c, false, Schlegelmilch_Malm_7_15.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) semiplanum,  , "Schlegelmilch, Malm, Image: 7.16", ox 1 c, false, Schlegelmilch_Malm_7_16.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) lochense,  , "Schlegelmilch, Malm, Image: 7.17", ox 1 f, false, Schlegelmilch_Malm_7_17.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) pichleri,  , "Schlegelmilch, Malm, Image: 8.1", ox 1 f, false, Schlegelmilch_Malm_8_1.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) tricistatum,  , "Schlegelmilch, Malm, Image: 8.2", ox 1 f, false, Schlegelmilch_Malm_8_2.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Proscaphites, Taramelliceras (Pr.) sarasini,  , "Schlegelmilch, Malm, Image: 8.3", ox 1 f, false, Schlegelmilch_Malm_8_3.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) pseudoculatum,  , "Schlegelmilch, Malm, Image: 8.4", ox 1, false, Schlegelmilch_Malm_8_4.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) argoviense,  , "Schlegelmilch, Malm, Image: 8.5", ox 1 c, false, Schlegelmilch_Malm_8_5.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) obumbrans,  , "Schlegelmilch, Malm, Image: 8.6", ox 1 c, false, Schlegelmilch_Malm_8_6.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) callicerum,  , "Schlegelmilch, Malm, Image: 8.7", ox 1 c, false, Schlegelmilch_Malm_8_7.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) tuberculatum,  , "Schlegelmilch, Malm, Image: 8.8", ox 1 c, false, Schlegelmilch_Malm_8_8.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) hauffianum,  , "Schlegelmilch, Malm, Image: 8.9, 8.11", ox 1 f, false, Schlegelmilch_Malm_8_9.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) costatum,  , "Schlegelmilch, Malm, Image: 8.10", ox 1 f, false, Schlegelmilch_Malm_8_10.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) broilii,  , "Schlegelmilch, Malm, Image: 9.1", "ox 1 f, ox 2 a", false, Schlegelmilch_Malm_9_1.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) tenuinodosum,  , "Schlegelmilch, Malm, Image: 9.2", ox 2 a, false, Schlegelmilch_Malm_9_2.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) rigidum,  , "Schlegelmilch, Malm, Image: 9.3", "ox 2 b, ki 1 a", false, Schlegelmilch_Malm_9_3.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) trachinotum,  , "Schlegelmilch, Malm, Image: 9.4", "ki 1", false, Schlegelmilch_Malm_9_4.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) compsum,  , "Schlegelmilch, Malm, Image: 10.1, 15.7", "ki 1, ki 2", false, Schlegelmilch_Malm_10_1.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) pseudoflexuosum,  , "Schlegelmilch, Malm, Image: 9.5", "ki 1 d, ki 2", false, Schlegelmilch_Malm_9_5.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) klettgovianum,  , "Schlegelmilch, Malm, Image: 10.2", "ki 1 b, ki 1 c, ki 1 d, ki 2, ki 3 a, ki 3 b, ki 3 c?", false, Schlegelmilch_Malm_10_2.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) kiderleni,  , "Schlegelmilch, Malm, Image: 10.3", "ki 3", false, Schlegelmilch_Malm_10_3.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Taramelliceras, Taramelliceras (T.) rebuletianum,  , "Schlegelmilch, Malm, Image: 10.4", "ki 3?, ti 1", false, Schlegelmilch_Malm_10_4.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) litocerum,  , "Schlegelmilch, Malm, Image: 10.5", "ox 1 f, ox 2, ki 1", false, Schlegelmilch_Malm_10_5.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) wenzeli,  , "Schlegelmilch, Malm, Image: 10.6", "ox 1 f, ox 2", false, Schlegelmilch_Malm_10_6.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.?) kobyi,  , "Schlegelmilch, Malm, Image: 10.7, 11.1", "ox 1 f, ki 1", false, Schlegelmilch_Malm_10_7.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.?) kobyi quenstedti,  , "Schlegelmilch, Malm, Image: 10.7, 11.1", "ox 1 f, ki 1", false, Schlegelmilch_Malm_10_7.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) falcula,  , "Schlegelmilch, Malm, Image: 10.8", "ox 1 f, ki 1", false, Schlegelmilch_Malm_10_8.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) subnereus,  , "Schlegelmilch, Malm, Image: 11.2", "ox 1 f, ki 1", false, Schlegelmilch_Malm_11_2.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) semibarbarum,  , "Schlegelmilch, Malm, Image: 10.9", "ox 1 f, ki 1", false, Schlegelmilch_Malm_10_9.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) strombecki,  , "Schlegelmilch, Malm, Image: 11.3", "ox 1 f, ki 1", false, Schlegelmilch_Malm_11_3.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) nodosiusculum,  , "Schlegelmilch, Malm, Image: 11.4", "ox 1 f, ki 1", false, Schlegelmilch_Malm_11_4.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Metahaploceras, Taramelliceras (M.) subsidens,  , "Schlegelmilch, Malm, Image: 11.5", "ox 1 f, ki 1", false, Schlegelmilch_Malm_11_5.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Fontannesiella, Taramelliceras (F.) prolithographicum,  , "Schlegelmilch, Malm, Image: 11.6", "ti 1", false, Schlegelmilch_Malm_11_6.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Hemihaploceras, Taramelliceras (H.) nobile,  , "Schlegelmilch, Malm, Image: 11.7", "ki 3 b", false, Schlegelmilch_Malm_11_7.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Hemihaploceras, Taramelliceras (H.) pugile,  , "Schlegelmilch, Malm, Image: 11.8", "ki 2 a, ki 2 b, ki 3 a, ki 3 b", false, Schlegelmilch_Malm_11_8.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Hemihaploceras, Taramelliceras (H.) multinodum,  , "Schlegelmilch, Malm, Image: 12.1", "ki 3 b, ki 3 c", false, Schlegelmilch_Malm_12_1.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Oxyoppelia, Taramelliceras (O.) fischeri,  , "Schlegelmilch, Malm, Image: 12.2", "ki 3 b", false, Schlegelmilch_Malm_12_2.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Oxyoppelia, Taramelliceras (O.) pseudopolitulum,  , "Schlegelmilch, Malm, Image: 12.3", "ki 3 b, ki 3 c", false, Schlegelmilch_Malm_12_3.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Oxyoppelia, Taramelliceras (O.) crassum,  , "Schlegelmilch, Malm, Image: 12.4", "ki 2 b, ki 3 a", false, Schlegelmilch_Malm_12_4.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Oxyoppelia, Taramelliceras (O.) wepferi,  , "Schlegelmilch, Malm, Image: 12.5", "ki 3 c, ti 1", false, Schlegelmilch_Malm_12_5.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Oxyoppelia, Taramelliceras (O.) undulatum,  , "Schlegelmilch, Malm, Image: 12.6", "ki 3 a, ki 3 b", false, Schlegelmilch_Malm_12_6.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Flexisplinites, Flexisplinites langi,  , "Schlegelmilch, Malm, Image: 12.7", "ox 1", false, Schlegelmilch_Malm_12_7.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Taramelliceras, Barthelia, Barthelia alba,  , "Schlegelmilch, Malm, Image: 12.8", "ox 1", false, Schlegelmilch_Malm_12_8.jpg
