Subclass, Family, Subfamily, Genus, Subgenus, Species, Description, Comment, Strata, Overwrite image, Image path
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Alligaticeras, Alligaticeras consociatum, , "Schlegelmilch, Malm, Image: 16.23", "ox 1 a, ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_16_23.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Alligaticeras, Alligaticeras mairei, , "Schlegelmilch, Malm, Image: 17.1", "ox 1 a, ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes bernensis, , "Schlegelmilch, Malm, Image: 17.2", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes hermonis, , "Schlegelmilch, Malm", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes gresslei, , "Schlegelmilch, Malm, Image: 17.3", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes sorlinensis, , "Schlegelmilch, Malm, Image: 17.4", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes neglectus, , "Schlegelmilch, Malm, Image: 17.5", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes thurmanni, , "Schlegelmilch, Malm, Image: 17.6", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_6.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) bouranensis, , "Schlegelmilch, Malm, Image: 17.7", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_7.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) montfalconensis, , "Schlegelmilch, Malm, Image: 17.8", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_8.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) wartae, , "Schlegelmilch, Malm, Image: 17.8", "ox 1 b, ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_8.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) antecedens, , "Schlegelmilch, Malm, Image: 18.1", "ox 1 c, ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_18_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) vermicularis, , "Schlegelmilch, Malm, Image: 17.10", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_10.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) plicatilis, , "Schlegelmilch, Malm, Image: 18.2", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_18_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) elisabethae, , "Schlegelmilch, Malm, Image: 18.3", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_18_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) gigantoplex, , "Schlegelmilch, Malm, Image: 18.4", "ox 1 f?", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_18_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Kranaosphinctes, Perisphinctes (K.) berlieri, , "Schlegelmilch, Malm, Image: 19.1", "ox 1 f, ox 2 a", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_19_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) martelli, , "Schlegelmilch, Malm, Image: 19.2", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_19_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) siegfriedi, , "Schlegelmilch, Malm, Image: 19.3", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_19_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) panthieri, , "Schlegelmilch, Malm, Image: 19.4", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_19_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) waltonensis, , "Schlegelmilch, Malm, Image: 20.1", "ox 1 f", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_20_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Perisphinctes, Perisphinctes (P.) chloroolithicus, , "Schlegelmilch, Malm, Image: 20.2", "ox 1 c, ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_20_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) bifurcatus, , "Schlegelmilch, Malm, Image: 20.3", "ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_20_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) crassus, , "Schlegelmilch, Malm, Image: 20.4", "ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_20_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) bifurcatoides, , "Schlegelmilch, Malm, Image: 20.5", "ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_20_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) microplicatilis, , "Schlegelmilch, Malm, Image: 21.1", "ox 1 c, ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomoceras, Perisphinctes (D.) prowitteanus, , "Schlegelmilch, Malm, Image: 21.2", "ox 1 d", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Microbiplices, Microbiplices microbiplex, , "Schlegelmilch, Malm, Image: 21.3", "ox 1 f, ox 1 c?", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Neomorphoceras, Neomorphoceras chapuisi, , "Schlegelmilch, Malm, Image: 21.4", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Neomorphoceras, Neomorphoceras colinii, , "Schlegelmilch, Malm, Image: 21.10", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_10.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Larcheria, Larcheria gredingensis, , "Schlegelmilch, Malm, Image: 21.5", "ox 1 f", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Larcheria, Larcheria dorni, , "Schlegelmilch, Malm, Image: 21.6", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_6.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Subdistophinctes, Subdistophinctes lucingae, , "Schlegelmilch, Malm, Image: 21.7", "ox 1 c, ox 1 f?", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_7.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Subdistophinctes, Subdistophinctes mindowe, , "Schlegelmilch, Malm, Image: 21.8", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_8.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) polygyratus, , "Schlegelmilch, Malm, Image: 21.9", "ox 1 f?, ox 2 a, ox 2 b, ki 1 a", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_21_9.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) laufensis, , "Schlegelmilch, Malm, Image: 22.1", "ox 1 f, ox 2 a, ox 2 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_22_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) virgulatus, , "Schlegelmilch, Malm, Image: 22.2", "ox 2 a, ox 2 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_22_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) wemodingensis, , "Schlegelmilch, Malm, Image: 22.3", "ox 2 a, ox 2 b, ki 1 a", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_22_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) tizianiformis, , "Schlegelmilch, Malm, Image: 22.4", "ox 1 f, ox 2 a, ox 2 b, ki 1 a", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_22_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) freybergi, , "Schlegelmilch, Malm, Image: 22.5", "ox 2 b, ki 1 a", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_22_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Orthosphinctes, Orthosphinctes (O.) suevicus, , "Schlegelmilch, Malm, Image: 23.1", "ox 2 a, ox 2 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_23_1.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Creniceras, , Creniceras lophotum, , "Schlegelmilch, Malm, Image: 12.9", "ox 1 c, ox 1 d, ox 1 e, ox 1 f", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_12_9.jpg
Haplocerataceae, Haploceratidae, Taramelliceratinae, Creniceras, , Creniceras dentatum, , "Schlegelmilch, Malm, Image: 12.10", "ki 1 c, ki 1 d, ki 2 a, ki 2 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_12_10.jpg